2019-10-28 12:56:34.107 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-10-28 12:56:34.148 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-28 12:56:34.151 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-28 12:56:34.411 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-10-28 12:56:34.428 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-28 12:56:34.484 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3bd82cf5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@544fa968, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@247bddad, org.springframework.test.context.support.DirtiesContextTestExecutionListener@d35dea7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7770f470, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5e5d171f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@24313fcc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7d20d0b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77f1baf5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41a2befb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c40365c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7bedc48a]
2019-10-28 12:56:34.500 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-10-28 12:56:34.504 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-28 12:56:34.506 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-28 12:56:34.532 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-10-28 12:56:34.579 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-28 12:56:34.593 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2f465398, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@548e6d58, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@623a8092, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a1cdc6d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@175b9425, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3098cf3b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@610f7aa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6a03bcb1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@21b2e768, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@57250572, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5609159b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2118cddf]
2019-10-28 14:00:29.139 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-10-28 14:00:29.159 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-28 14:00:29.160 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-28 14:00:29.297 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-10-28 14:00:29.318 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-28 14:00:29.369 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@fa4c865, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3bd82cf5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@544fa968, org.springframework.test.context.support.DirtiesContextTestExecutionListener@247bddad, org.springframework.test.context.transaction.TransactionalTestExecutionListener@d35dea7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7770f470, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5e5d171f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@24313fcc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d20d0b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@77f1baf5, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@41a2befb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6c40365c]
2019-10-28 14:00:29.376 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-10-28 14:00:29.378 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-10-28 14:00:29.379 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-10-28 14:00:29.392 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-10-28 14:00:29.402 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-10-28 14:00:29.408 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@313b2ea6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f465398, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@548e6d58, org.springframework.test.context.support.DirtiesContextTestExecutionListener@623a8092, org.springframework.test.context.transaction.TransactionalTestExecutionListener@a1cdc6d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@175b9425, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3098cf3b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@610f7aa, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6a03bcb1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21b2e768, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57250572, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5609159b]
