2019-11-17 11:23:42.468 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-11-17 11:23:42.489 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-17 11:23:42.491 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-17 11:23:42.690 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-11-17 11:23:42.700 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-17 11:23:42.755 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2362f559, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@b2c9a9c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c178a76, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fa4c865, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3bd82cf5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@544fa968, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@247bddad, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@d35dea7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7770f470, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e5d171f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24313fcc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7d20d0b]
2019-11-17 11:23:42.764 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2019-11-17 11:23:42.765 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-17 11:23:42.766 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-17 11:23:42.774 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2019-11-17 11:23:42.784 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-17 11:23:42.791 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2638011, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6ff29830, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6a2b953e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@313b2ea6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f465398, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@548e6d58, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@623a8092, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@a1cdc6d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@175b9425, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3098cf3b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@610f7aa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6a03bcb1]
